ライン,No,名称,設備,部材,作業者,作業方法,点検,記録_作り込み,特性/測定方法,方式,測定器具,頻度,記録_品質,改定日,備考
C-8,2,清掃,樹脂オートパッカー,,パ,パンチャー・検出ヘッドをワイプ・エアーで清掃する。,始,作報,,,,,,2026-04-15,

C-8,2,清掃,センサ全般,,パ,センサ部をエアーガンで清掃する。,始,作報,【特性】センサ誤検知,－,目視,始,作報,2026-04-15,

C-8,2,清掃,コンベア,,パ,コンベアベルトを清掃し、損傷がないか確認する。,始,作報,【特性】ベルト損傷,抜,目視,定,作報,2026-04-15,

C-8,2,清掃,ポンプ受け皿,,パ,ポンプ滴下受け皿を清掃する。マットは月1回交換。,始,作報,,,,,月,作報,2026-04-15,

C-8,3,空運転,絞り,,パ,絞りモーターを始動する。,始,作報,【特性】安定稼働,－,傾聴,始,作報,2026-04-15,空運転5分

C-8,3,空運転,爪曲げ,,パ,爪曲げモーターを始動する。,始,作報,,,,,,2026-04-15,

C-8,3,空運転,クラッチ,,パ,クラッチペダルを確認する。木楔を入れ5分間空運転する。,始,作報,,,,,,2026-04-15,

C-8,3,空運転,画像処理コンベア,,パ,画像処理コンベアを始動する。,始,作報,,,,,,2026-04-15,

C-8,3,空運転,セット機,,パ,セット機を始動する。,始,作報,,,,,,2026-04-15,

C-8,3,空運転,樹脂オートパッカー,,パ,樹脂オートパッカーを始動する。,始,作報,,,,,,2026-04-15,

C-8,4,安全点検,インターロック,,パ,1台のみ押し出し状態で停止レバーを外し、スライドレールを引き出して電源が切れることを確認する。,始,－,【特性】事故防止,－,－,始,－,2026-04-15,安全点検1分

C-8,5,注油,絞り,,パ,シャッター・オイルカップ等、所定箇所に注油する。,始,作報,【特性】焼き付き,－,傾聴,始,作報,2026-04-15,注油3分

C-8,5,注油,爪曲げ,,パ,所定箇所に注油する。,始,作報,,,,,,2026-04-15,

C-8,5,注油,オートパッカー,,パ,所定箇所に注油する。,始,作報,,,,,,2026-04-15,

C-8,5,注油,リテナー,,パ,毎週月曜：各リテナーにシェルテルスオイル32を1滴ずつ注油する。,月,作報,,,,,月,作報,2026-04-15,週次

C-8,6,センサチェック,樹脂オートパッカー,,パ,梱包の逆さ・欠けがないかセンサチェックする。,始昼切,作報,【特性】梱包不良,全,センサCH,始昼切,作報,2026-04-15,センサCH4分

C-8,6,センサチェック,印字セット機,,パ,表面センサのチェックを行う。,始昼切,作報,,,,,,2026-04-15,

C-8,6,センサチェック,画像処理表面コンベア,,パ,リング浮き検出センサのチェックを行う。,始昼切,作報,,,,,,2026-04-15,

C-8,6,センサチェック,画像処理（表面）,,パ,チェックワークで刻印・キャップ・汚れ・キズ・爪曲げ・梱包欠け等を確認する。,始昼切,作報,【特性】画像不良,抜,目視,始昼切,作報,2026-04-15,品種別ワーク

C-8,6,センサチェック,画像処理（裏面）,,パ,チェックワークで裏面項目を確認する。,始昼切,作報,【特性】画像不良,抜,目視,始昼切,作報,2026-04-15,

C-8,7,抜取チェック,ノギス,,パ,ノギスの零点確認を行う。,始10時13時15時終,作報,【特性】測定精度,抜,ノギス,定切,作報,2026-04-15,

C-8,7,抜取チェック,キャップ,,パ,梱包挿入後キャップの外観・寸法を各側1個ずつ確認する。,始10時13時15時終,作報,【特性】寸法・外観,抜,ノギス,定切,作報,2026-04-15,

C-8,7,抜取チェック,完成品,,パ,重量を各側2個ずつ測定する。,始10時13時15時終,作報,【特性】重量,抜,秤,定切,作報,2026-04-15,

C-8,7,抜取チェック,完成品,,パ,コンベア上の完成品12個を確認する。,始10時13時15時終,作報,【特性】外観,抜,目視,定切,作報,2026-04-15,

C-8,7,抜取チェック,キャップ,,パ,始業・10時・13時・15時・終業時に5個連続でキャップをノギス測定する。,始10時13時15時終,作報,【特性】寸法,抜,ノギス,定切,作報,2026-04-15,2026-4-15強調

C-8,7,抜取チェック,刻印,,パ,刻印種類切替時に刻印寸法2箇所を確認する。,切,作報,【特性】刻印寸法,抜,ノギス,切,作報,2026-04-15,2026-4-15強調

C-8,8,記録検査,パネル,,パ,切替後のカウント不一致がないか確認する。,切,作報,【特性】排出不一致,－,目視,切,作報,2026-04-15,定時検査

C-8,8,記録検査,調整,,パ,精度に影響する調整は日報に記録し品質管理の承認を得る。,切,作報,【特性】寸法逸脱,－,日報,切,作報,2026-04-15,

C-8,9,製造（運転時）,面金,,パ,面金は古いロットから補給する（トレーサビリティ）。,常,作報,,,,,,2026-04-15,

C-8,9,製造（運転時）,梱包,,パ,梱包材は古いロットから補給する。,常,作報,,,,,,2026-04-15,

C-8,9,製造（運転時）,ホイル,,パ,ホイルは古いロットから補給する。,常,作報,,,,,,2026-04-15,

C-8,9,製造（運転時）,オートパッカー,,パ,オートパッカーで除外された品は全数廃棄する。,常,作報,【特性】不良流出防止,全,目視,常,作報,2026-04-15,

C-8,10,製造（昼休み）,材料,,パ,昼休み無人稼働に向け材料を補給する。,昼,作報,,,,,,2026-04-15,

C-8,10,製造（昼休み）,記録,,パ,ストッカー満杯時は19分間無人運転を記録する。,昼,作報,,,,,,2026-04-15,

C-8,11,入庫,生産指示,,パ,生産指示書を記入する。,入,入伝,【特性】記録ミス,全,目視,入,入伝,2026-04-15,

C-8,11,入庫,入庫伝票,,パ,入庫伝票を記入する。,入,入伝,,,,,,2026-04-15,

C-8,11,入庫,ラベル,,パ,日付・作業者・点検者の押印漏れがないか確認する。,入,入伝,【特性】日付・押印ミス,全,目視,入,入伝,2026-04-15,

C-8,11,入庫,ロット,,パ,ロット番号を確認する。,入,入伝,【特性】ロットミス,全,目視,入,入伝,2026-04-15,

C-8,12,切替（品種）,ライン,,パ,最終ケース残300個でライン停止する。,切,作報,,,,,,2026-04-15,品種切替50分

C-8,12,切替（品種）,チェックリスト,,パ,切替チェックリストに従い作業する。,切,作報,【特性】残留品なし,抜,目視,切,作報,2026-04-15,

C-8,12,切替（品種）,ダブルチェック,,パ,第2点検者による確認を実施する。,切,作報,,,,,,2026-04-15,

C-8,12,切替（品種）,製品ケース,,パ,製品ケースの清掃・強制排出を行う。,切,作報,【特性】残留品なし,抜,目視,切,作報,2026-04-15,2026-4-15強調

C-8,12,切替（品種）,カウンター,,パ,カウンターゼロを2人で確認する。,切,作報,【特性】カウントミス,－,目視,切,作報,2026-04-15,2026-4-15強調

C-8,12,切替（品種）,赤箱,,パ,赤箱内容を廃棄する。,切,作報,,,,,,2026-04-15,

C-8,12,切替（品種）,機械調整,,パ,キャップ種類に応じて機械ハイトを調整する。,切,作報,【特性】寸法,抜,ノギス,切,作報,2026-04-15,

C-8,12,切替（品種）,PP試験,,パ,ポリプロ製品は500N荷重試験を行う。,切,作報,【特性】強度,抜,荷重試験,切,作報,2026-04-15,

C-8,13,切替（ホイル）,ホイル,,パ,旧ホイルを使い切ってから新ホイルを投入する。,切,作報,,,,,,2026-04-15,ホイル切替15分

C-8,13,切替（ホイル）,寸法,,パ,12個の寸法を確認する。,切,作報,【特性】寸法,抜,ノギス,切,作報,2026-04-15,

C-8,14,切替（面金）,面金,,パ,旧ロットを使い切ってから新ロットを投入する。,切,作報,,,,,,2026-04-15,面金切替15分

C-8,14,切替（面金）,寸法・荷重,,パ,寸法・荷重を確認する。,切,作報,【特性】寸法,抜,ノギス,切,作報,2026-04-15,

C-8,14,切替（面金）,記録,,パ,ロット切替を記録する。,切,作報,,,,,,2026-04-15,

C-8,15,端数品管理,エンボス,,パ,エンボスをサンプルと照合確認する。,－,作報,【特性】刻印誤り,抜,目視,－,作報,2026-04-15,

C-8,15,端数品管理,面金,,パ,残面金数を記録・保管する。,－,作報,,,,,,2026-04-15,

C-8,16,梱包,ケース,,パ,1ケース500個を標準とする。,－,作報,,,,,,2026-04-15,

C-8,16,梱包,ビニール袋,,パ,ビニール袋を使用する。,－,作報,,,,,,2026-04-15,

C-8,16,梱包,仕掛品,,パ,仕掛品はクラフトテープで固定する（端を折り返し剥がしやすくする）。,－,作報,,,,,,2026-04-15,

C-8,16,梱包,押印,,パ,入庫前にケースの押印を確認する。,入,入伝,【特性】押印漏れ,全,目視,入,入伝,2026-04-15,

C-8,16,梱包,BG在庫,,パ,BG在庫には開封日EXPをクラフトテープで表示する。,－,作報,【特性】期限管理,全,目視,－,作報,2026-04-15,2025-11-20改定関連

C-8,16,梱包,NGケース,,パ,NG発生後のケースはクラフトテープで封印し生産日を明示する。,異,作報,【特性】誤出荷防止,全,目視,異,作報,2026-04-15,

C-8,17,検査管理（終業）,ライン,,パ,キャップ・面金を全数ラインから流す。,終,作報,【特性】残留品なし,－,目視,終,作報,2026-04-15,

C-8,17,検査管理（終業）,画像処理,,パ,画像処理で排出された品を再検査する（2回NGは廃棄）。,終,作報,【特性】不良流出防止,抜,目視,終,作報,2026-04-15,

C-8,17,検査管理（終業）,落下品,,パ,落下品がないか確認する。,終,作報,,,,,,2026-04-15,

C-8,17,検査管理（終業）,赤箱,,パ,赤箱の不良を廃棄する。,終,作報,,,,,,2026-04-15,

C-8,17,検査管理（終業）,副資材,,パ,副資材のロット番号を記録する。,終,作報,,,,,,2026-04-15,

C-8,17,検査管理（終業）,電源,,パ,機械・空調・換気ファンの電源をOFFにする。,終,作報,,,,,,2026-04-15,清掃後

C-8,20,トラブル処置,絞り（残品）,,パ,残品付着時は所定手順で除去する。,異,作報,【特性】品質事故防止,－,目視,異,作報,2026-04-15,

C-8,20,トラブル処置,絞り（2枚噛み）,,パ,2枚噛み時は連続エラー処理手順に従う。,異,作報,,,,,,2026-04-15,

C-8,20,トラブル処置,絞り（満杯）,,パ,満杯エラー時は排出を確認する。,異,作報,,,,,,2026-04-15,

C-8,20,トラブル処置,爪曲げ,,パ,ワーク詰まり時は向きを修正して解除する。,異,作報,,,,,,2026-04-15,

C-8,20,トラブル処置,オートパッカー,,パ,梱包シュート詰まり時は詰まり解除手順に従う。,異,作報,,,,,,2026-04-15,

C-8,20,トラブル処置,セット機（供給）,,パ,供給異常時は原因を確認し復旧する。,異,作報,,,,,,2026-04-15,

C-8,20,トラブル処置,セット機（トルク）,,パ,トルクリミッター作動時は所定手順で復旧する。,異,作報,,,,,,2026-04-15,

C-8,20,トラブル処置,セット機（ホイル）,,パ,ホイル異常時は所定手順で対処する。,異,作報,,,,,,2026-04-15,

C-8,20,トラブル処置,セット機（搬送）,,パ,搬送エラー時は所定手順で対処する。,異,作報,,,,,,2026-04-15,

C-8,20,トラブル処置,画像処理（NG排出）,,パ,NG排出時は手順に従い対処する。,異,作報,【特性】誤排出防止,－,目視,異,作報,2026-04-15,

C-8,20,トラブル処置,画像処理（連続NG）,,パ,連続NG時は手順に従い対処する。,異,作報,,,,,,2026-04-15,

C-8,20,トラブル処置,画像処理（カウント）,,パ,カウント不一致時は手順に従い対処する。,異,作報,,,,,,2026-04-15,

C-8,20,トラブル処置,画像処理（タイムアウト）,,パ,タイムアウト時は手順に従い対処する。,異,作報,,,,,,2026-04-15,

C-8,20,トラブル処置,画像処理（2枚噛み）,,パ,ダブルフィード時は手順に従い対処する。,異,作報,,,,,,2026-04-15,

C-8,99,改訂履歴,文書,,,2025/1/20 定時検査：ゲージのみ確認→ノギス確認を追加,,,,,,,,2025-01-20,参照専用

C-8,99,改訂履歴,文書,,,2025/11/20 ケース梱包：クラフトテープ（薄テープ）使用を追加,,,,,,,,2025-11-20,

C-8,99,改訂履歴,文書,,,2026/4/15 切替時：製品ケース清掃・強制排出およびカウンターゼロ2人確認を追加,,,,,,,,2026-04-15,黄色強調項目

